"NMDS1"	"NMDS2"	"site"	"Serotype"	"Source"	"Geo"
"HUM_TYPH_NY_11_R8_8081"	0.0734316915561727	0.16501660136602	"HUM_TYPH_NY_11_R8_8081"	"Typhimurium"	"Human"	"NY"
"HUM_TYPH_WA_11_R9_3276"	-0.0872525832692991	-0.0324224915053164	"HUM_TYPH_WA_11_R9_3276"	"Typhimurium"	"Human"	"WA"
"HUM_TYPH_WA_11_R9_3275"	-0.240483267869689	-0.0264342517433529	"HUM_TYPH_WA_11_R9_3275"	"Typhimurium"	"Human"	"WA"
"BOV_TYPH_NY_12_R8_9801"	0.277378282346373	-0.18651496293132	"BOV_TYPH_NY_12_R8_9801"	"Typhimurium"	"Bovine"	"NY"
"HUM_TYPH_WA_12_R9_3277"	-0.101308929727759	-0.00365127851504279	"HUM_TYPH_WA_12_R9_3277"	"Typhimurium"	"Human"	"WA"
"BOV_DUBN_NY_08_R8_3274"	-0.0262844053279099	-0.028143732408276	"BOV_DUBN_NY_08_R8_3274"	"Dublin"	"Bovine"	"NY"
"HUM_NEWP_WA_09_R9_3254"	-0.0712734966420343	-0.0311662155646183	"HUM_NEWP_WA_09_R9_3254"	"Newport"	"Human"	"WA"
"BOV_TYPH_WA_10_R9_3248"	0.108052285831809	0.00438781000815801	"BOV_TYPH_WA_10_R9_3248"	"Typhimurium"	"Bovine"	"WA"
"BOV_NEWP_NY_08_R8_2873"	-0.0386648645004238	-0.0384850080703874	"BOV_NEWP_NY_08_R8_2873"	"Newport"	"Bovine"	"NY"
"BOV_NEWP_WA_10_R9_3241"	-0.0386648645004238	-0.0384850080703874	"BOV_NEWP_WA_10_R9_3241"	"Newport"	"Bovine"	"WA"
"BOV_NEWP_WA_10_R9_3240"	-0.0475922462384182	-0.119318313845529	"BOV_NEWP_WA_10_R9_3240"	"Newport"	"Bovine"	"WA"
"BOV_TYPH_NY_12_R8_9815"	0.284402032502941	-0.185229822160068	"BOV_TYPH_NY_12_R8_9815"	"Typhimurium"	"Bovine"	"NY"
"HUM_NEWP_WA_10_R9_3263"	-0.0868291171354711	0.00346692736473346	"HUM_NEWP_WA_10_R9_3263"	"Newport"	"Human"	"WA"
"BOV_NEWP_NY_11_R8_8631"	-0.0386648645004238	-0.0384850080703874	"BOV_NEWP_NY_11_R8_8631"	"Newport"	"Bovine"	"NY"
"BOV_TYPH_NY_10_R8_7307"	0.0722917970723577	0.21281865205973	"BOV_TYPH_NY_10_R8_7307"	"Typhimurium"	"Bovine"	"NY"
"HUM_TYPH_NY_12_R9_0042"	0.156611030656281	0.1037752600326	"HUM_TYPH_NY_12_R9_0042"	"Typhimurium"	"Human"	"NY"
"HUM_NEWP_WA_10_R9_3264"	-0.0712734966420343	-0.0311662155646183	"HUM_NEWP_WA_10_R9_3264"	"Newport"	"Human"	"WA"
"HUM_NEWP_WA_09_R9_3261"	-0.069511090263146	-0.0694425878698641	"HUM_NEWP_WA_09_R9_3261"	"Newport"	"Human"	"WA"
"BOV_NEWP_NY_10_R8_5045"	-0.0386648645004238	-0.0384850080703874	"BOV_NEWP_NY_10_R8_5045"	"Newport"	"Bovine"	"NY"
"BOV_TYPH_WA_08_R9_3244"	0.127650184145142	0.0675241249446972	"BOV_TYPH_WA_08_R9_3244"	"Typhimurium"	"Bovine"	"WA"
"BOV_TYPH_WA_08_R9_3243"	0.108051967033588	0.00438919811598566	"BOV_TYPH_WA_08_R9_3243"	"Typhimurium"	"Bovine"	"WA"
"HUM_NEWP_WA_08_R9_3260"	-0.0386648645004238	-0.0384850080703874	"HUM_NEWP_WA_08_R9_3260"	"Newport"	"Human"	"WA"
