"NMDS1"	"NMDS2"	"site"	"Serotype"	"Source"	"Geo"
"HUM_TYPH_WA_11_R9_3276"	-0.0652002098666651	0.353524465527336	"HUM_TYPH_WA_11_R9_3276"	"Typhimurium"	"Human"	"WA"
"HUM_TYPH_WA_11_R9_3275"	0.0968559539697529	-0.624270754287589	"HUM_TYPH_WA_11_R9_3275"	"Typhimurium"	"Human"	"WA"
"BOV_TYPH_NY_12_R8_9801"	-0.635640519627699	0.0865048138086481	"BOV_TYPH_NY_12_R8_9801"	"Typhimurium"	"Bovine"	"NY"
"HUM_TYPH_WA_12_R9_3277"	0.00463107152371007	-0.246653831428549	"HUM_TYPH_WA_12_R9_3277"	"Typhimurium"	"Human"	"WA"
"BOV_DUBN_NY_08_R8_3274"	-0.555125996739917	0.538014775439936	"BOV_DUBN_NY_08_R8_3274"	"Dublin"	"Bovine"	"NY"
"HUM_NEWP_WA_09_R9_3254"	-0.0884109568786238	-0.0172084740577949	"HUM_NEWP_WA_09_R9_3254"	"Newport"	"Human"	"WA"
"BOV_TYPH_WA_10_R9_3248"	-0.19052694145051	0.144357190636517	"BOV_TYPH_WA_10_R9_3248"	"Typhimurium"	"Bovine"	"WA"
"BOV_NEWP_NY_08_R8_2873"	-0.0884114070794284	-0.0172093664729895	"BOV_NEWP_NY_08_R8_2873"	"Newport"	"Bovine"	"NY"
"BOV_NEWP_WA_10_R9_3241"	-0.0884117261725558	-0.0172077856832612	"BOV_NEWP_WA_10_R9_3241"	"Newport"	"Bovine"	"WA"
"BOV_NEWP_WA_10_R9_3240"	-0.0884103605186009	-0.0171945050621263	"BOV_NEWP_WA_10_R9_3240"	"Newport"	"Bovine"	"WA"
"BOV_TYPH_NY_12_R8_9815"	-0.635652326539809	0.0865080073813743	"BOV_TYPH_NY_12_R8_9815"	"Typhimurium"	"Bovine"	"NY"
"HUM_NEWP_WA_10_R9_3263"	0.0180436127581591	-0.238849946124863	"HUM_NEWP_WA_10_R9_3263"	"Newport"	"Human"	"WA"
"BOV_NEWP_NY_11_R8_8631"	-0.0884123916008502	-0.0172114934395741	"BOV_NEWP_NY_11_R8_8631"	"Newport"	"Bovine"	"NY"
"BOV_TYPH_NY_10_R8_7307"	0.480465633259465	-0.0141063438565697	"BOV_TYPH_NY_10_R8_7307"	"Typhimurium"	"Bovine"	"NY"
"HUM_TYPH_NY_12_R9_0042"	0.593481486857465	0.303494508411956	"HUM_TYPH_NY_12_R9_0042"	"Typhimurium"	"Human"	"NY"
"HUM_NEWP_WA_10_R9_3264"	-0.0884123631713093	-0.0172060590602989	"HUM_NEWP_WA_10_R9_3264"	"Newport"	"Human"	"WA"
"HUM_NEWP_WA_09_R9_3261"	-0.19052616426039	0.144354614890958	"HUM_NEWP_WA_09_R9_3261"	"Newport"	"Human"	"WA"
"BOV_NEWP_NY_10_R8_5045"	-0.0884109250307889	-0.0172003087217201	"BOV_NEWP_NY_10_R8_5045"	"Newport"	"Bovine"	"NY"
"BOV_TYPH_WA_08_R9_3244"	0.516824505563794	0.240451083846311	"BOV_TYPH_WA_08_R9_3244"	"Typhimurium"	"Bovine"	"WA"
"BOV_TYPH_WA_08_R9_3243"	-0.190526654810479	0.144355471352163	"BOV_TYPH_WA_08_R9_3243"	"Typhimurium"	"Bovine"	"WA"
"HUM_NEWP_WA_08_R9_3260"	-0.088410225011417	-0.017195580770991	"HUM_NEWP_WA_08_R9_3260"	"Newport"	"Human"	"WA"
"HUM_NEWP_NY_08_R8_2926"	-0.0884102465624178	-0.0172018762366083	"HUM_NEWP_NY_08_R8_2926"	"Newport"	"Human"	"NY"
"BOV_NEWP_NY_09_R8_4007"	-0.0884124865010283	-0.0172081713246759	"BOV_NEWP_NY_09_R8_4007"	"Newport"	"Bovine"	"NY"
"BOV_TYPH_NY_12_R8_9832"	-0.635667636364979	0.0865122520814027	"BOV_TYPH_NY_12_R8_9832"	"Typhimurium"	"Bovine"	"NY"
"BOV_NEWP_NY_11_R8_8188"	-0.0884121998406021	-0.017202938836671	"BOV_NEWP_NY_11_R8_8188"	"Newport"	"Bovine"	"NY"
"HUM_DUBN_NY_10_R8_4810"	-0.0884101739905781	-0.0172029800981191	"HUM_DUBN_NY_10_R8_4810"	"Dublin"	"Human"	"NY"
"HUM_DUBN_NY_08_R8_3358"	-0.0884110412939539	-0.0171961306637052	"HUM_DUBN_NY_08_R8_3358"	"Dublin"	"Human"	"NY"
"HUM_NEWP_NY_11_R8_8684"	-0.0884123709634712	-0.0172095076405002	"HUM_NEWP_NY_11_R8_8684"	"Newport"	"Human"	"NY"
"BOV_TYPH_WA_10_R9_3249"	0.480465633259688	-0.0141063438296269	"BOV_TYPH_WA_10_R9_3249"	"Typhimurium"	"Bovine"	"WA"
"BOV_DUBN_WA_11_R9_3250"	-0.305646618636762	-0.130567288337967	"BOV_DUBN_WA_11_R9_3250"	"Dublin"	"Bovine"	"WA"
"BOV_DUBN_WA_10_R9_3233"	-0.305647572573942	-0.130564724790699	"BOV_DUBN_WA_10_R9_3233"	"Dublin"	"Bovine"	"WA"
"BOV_DUBN_WA_10_R9_3234"	-0.305647393381143	-0.130563830160823	"BOV_DUBN_WA_10_R9_3234"	"Dublin"	"Bovine"	"WA"
"HUM_NEWP_NY_08_R8_1598"	-0.0884099962484189	-0.0171984969734025	"HUM_NEWP_NY_08_R8_1598"	"Newport"	"Human"	"NY"
"HUM_NEWP_WA_08_R9_3259"	-0.088411952447857	-0.0172009738379492	"HUM_NEWP_WA_08_R9_3259"	"Newport"	"Human"	"WA"
